Total,Clearance,Circulation,PairwiseDistance,PairwiseAngle,ConversationDistance,ConversationAngle,Balance,Alignment,WallAlignment,Symmetry,Emphasis,AcceptanceProbability,Iteration
-76.975850,0.000000,0.000000,-1.150101,-2.001951,-3.660372,-3.737989,0.927852,-9.764482,-4.407773,7.483969,-1.041580,1.000000,206.000000
-76.479390,0.000000,0.000000,-1.151040,-1.976040,-3.660372,-3.754182,0.904000,-9.708549,-4.276684,7.528468,-1.051918,0.608686,207.000000
-76.386360,0.000000,0.000000,-1.151131,-1.973234,-3.660372,-3.755799,0.901721,-9.688919,-4.260560,7.532226,-1.052753,0.911164,208.000000
-74.271550,0.005864,0.000000,-1.164975,-1.899844,-3.342716,-3.581578,0.875290,-9.688919,-4.260560,6.910056,-0.966527,0.120657,209.000000
-75.955330,0.000000,0.000000,-1.158621,-1.947362,-3.591122,-3.706832,0.897786,-9.688919,-4.260560,7.263896,-1.032674,1.000000,210.000000
-75.938640,0.000000,0.000000,-1.158642,-1.946810,-3.591122,-3.707175,0.897370,-9.685198,-4.257666,7.264039,-1.032711,0.983453,212.000000
-76.634190,0.000000,0.000000,-1.167431,-1.971569,-3.728050,-3.671100,0.950968,-9.685198,-4.257666,6.890948,-0.962932,1.000000,213.000000
-76.679230,0.000000,0.000000,-1.167369,-1.972903,-3.728050,-3.670220,0.951901,-9.694978,-4.265373,6.888569,-0.962001,1.000000,214.000000
-76.814830,0.000000,0.000000,-1.165627,-1.984935,-3.725468,-3.690984,0.962661,-9.694978,-4.265373,6.893930,-0.948162,1.000000,217.000000
-77.017750,0.000000,0.000000,-1.159769,-2.003012,-3.708392,-3.736535,0.972560,-9.694978,-4.265373,6.956864,-0.945195,1.000000,219.000000
-77.262450,0.000000,0.000000,-1.157609,-2.044858,-3.708392,-3.702382,1.013561,-9.554308,-4.481709,6.774623,-0.880010,1.000000,220.000000
-77.779460,0.000000,0.000000,-1.168357,-2.057706,-3.753053,-3.674507,1.059673,-9.554308,-4.481709,6.108699,-0.703123,1.000000,222.000000
-77.595700,0.000000,0.000000,-1.154077,-2.058277,-3.693931,-3.739614,1.029981,-9.554308,-4.481709,6.606738,-0.844428,0.832141,223.000000
-77.554660,0.000000,0.000000,-1.154033,-2.069486,-3.693931,-3.721374,1.030836,-9.539173,-4.483383,6.512430,-0.797487,0.959785,224.000000
-77.876370,0.000000,0.000000,-1.165534,-2.071684,-3.737830,-3.694991,1.062902,-9.539173,-4.483383,6.055586,-0.659156,1.000000,225.000000
-77.645450,0.000000,0.000000,-1.155028,-2.070797,-3.697095,-3.724374,1.037557,-9.539173,-4.483383,6.428617,-0.775345,0.793810,226.000000
-77.987850,0.000000,0.000000,-1.156517,-2.075854,-3.697095,-3.706331,1.016637,-9.770965,-4.395693,6.343721,-0.721217,1.000000,227.000000
-77.944260,0.000000,0.000000,-1.155711,-2.073802,-3.697095,-3.716124,1.027817,-9.688577,-4.454652,6.388906,-0.751270,0.957342,228.000000
-78.276220,0.000000,0.000000,-1.156440,-2.075325,-3.684457,-3.759272,1.072333,-9.688577,-4.454652,6.101949,-0.645638,1.000000,230.000000
-78.146020,0.000000,0.000000,-1.155424,-2.076287,-3.685399,-3.743832,1.053200,-9.688577,-4.454652,6.221677,-0.692557,0.877917,232.000000
-78.115430,0.000000,0.000000,-1.155304,-2.076273,-3.685399,-3.745469,1.054608,-9.667541,-4.461052,6.227767,-0.697242,0.969869,233.000000
-78.168320,0.000000,0.000000,-1.155539,-2.076266,-3.685399,-3.742269,1.051868,-9.706535,-4.448012,6.215933,-0.688065,1.000000,237.000000
-78.360290,0.000000,0.000000,-1.158185,-2.098083,-3.685399,-3.969931,1.066132,-9.378556,-4.223895,6.184251,-0.769645,1.000000,241.000000
